CustomerID,Recency,Frequency,Monetary,Customer_Lifetime_Value,Cluster,Segment
12441.0,367,1,173.55,173.55,1,At-Risk / Low-Value Customers
12442.0,3,1,172.06,172.06,0,Regular / Moderate-Value Customers
12444.0,21,5,5005.46,5005.46,0,Regular / Moderate-Value Customers
12445.0,22,1,133.4,133.4,0,Regular / Moderate-Value Customers
12446.0,58,1,1002.3100000000001,1002.3100000000001,0,Regular / Moderate-Value Customers
12447.0,243,1,476.49,476.49,1,At-Risk / Low-Value Customers
12448.0,44,1,449.45,449.45,0,Regular / Moderate-Value Customers
12449.0,22,4,4067.29,4067.29,0,Regular / Moderate-Value Customers
12450.0,156,2,197.88,197.88,1,At-Risk / Low-Value Customers
12451.0,11,5,9035.52,9035.52,0,Regular / Moderate-Value Customers
12452.0,17,2,430.57,430.57,0,Regular / Moderate-Value Customers
12453.0,134,1,707.09,707.09,0,Regular / Moderate-Value Customers
12454.0,56,1,3528.34,3528.34,0,Regular / Moderate-Value Customers
12455.0,73,6,2466.86,2466.86,0,Regular / Moderate-Value Customers
12456.0,44,3,3181.04,3181.04,0,Regular / Moderate-Value Customers
12457.0,66,7,2363.23,2363.23,0,Regular / Moderate-Value Customers
12458.0,71,2,947.4,947.4,0,Regular / Moderate-Value Customers
12461.0,94,2,826.88,826.88,0,Regular / Moderate-Value Customers
12462.0,19,2,1189.59,1189.59,0,Regular / Moderate-Value Customers
12463.0,53,4,1344.78,1344.78,0,Regular / Moderate-Value Customers
12464.0,10,8,1212.05,1212.05,0,Regular / Moderate-Value Customers
12465.0,17,2,742.1899999999999,742.1899999999999,0,Regular / Moderate-Value Customers
12468.0,188,2,729.5400000000001,729.5400000000001,1,At-Risk / Low-Value Customers
12471.0,2,30,19788.65,19788.65,3,Loyal / Valuable Customers
12472.0,32,7,6572.11,6572.11,0,Regular / Moderate-Value Customers
12473.0,29,5,3928.0499999999997,3928.0499999999997,0,Regular / Moderate-Value Customers
12474.0,17,18,7324.09,7324.09,3,Loyal / Valuable Customers
12475.0,54,1,723.38,723.38,0,Regular / Moderate-Value Customers
12476.0,16,11,6816.42,6816.42,0,Regular / Moderate-Value Customers
12477.0,23,6,13219.74,13219.74,0,Regular / Moderate-Value Customers
12478.0,4,1,680.99,680.99,0,Regular / Moderate-Value Customers
12479.0,11,1,527.2,527.2,0,Regular / Moderate-Value Customers
12480.0,28,4,3281.63,3281.63,0,Regular / Moderate-Value Customers
12481.0,23,10,5579.82,5579.82,0,Regular / Moderate-Value Customers
12483.0,17,8,2484.98,2484.98,0,Regular / Moderate-Value Customers
12484.0,33,6,4527.32,4527.32,0,Regular / Moderate-Value Customers
12488.0,10,3,1298.66,1298.66,0,Regular / Moderate-Value Customers
12489.0,336,1,334.93,334.93,1,At-Risk / Low-Value Customers
12490.0,5,10,5417.93,5417.93,0,Regular / Moderate-Value Customers
12491.0,39,1,460.40000000000003,460.40000000000003,0,Regular / Moderate-Value Customers
12492.0,63,2,263.21000000000004,263.21000000000004,0,Regular / Moderate-Value Customers
12493.0,166,2,433.74,433.74,1,At-Risk / Low-Value Customers
12494.0,16,7,1246.1000000000001,1246.1000000000001,0,Regular / Moderate-Value Customers
12497.0,82,1,1043.1,1043.1,0,Regular / Moderate-Value Customers
12498.0,21,3,403.70000000000005,403.70000000000005,0,Regular / Moderate-Value Customers
12500.0,23,11,4257.82,4257.82,0,Regular / Moderate-Value Customers
12501.0,337,1,2169.39,2169.39,1,At-Risk / Low-Value Customers
12502.0,96,5,3723.87,3723.87,0,Regular / Moderate-Value Customers
12504.0,18,2,482.04999999999995,482.04999999999995,0,Regular / Moderate-Value Customers
12506.0,233,1,73.5,73.5,1,At-Risk / Low-Value Customers
12507.0,134,3,1304.81,1304.81,0,Regular / Moderate-Value Customers
12508.0,26,2,397.88,397.88,0,Regular / Moderate-Value Customers
12509.0,284,1,176.5,176.5,1,At-Risk / Low-Value Customers
12510.0,143,2,982.5699999999999,982.5699999999999,0,Regular / Moderate-Value Customers
12512.0,66,2,132.18,132.18,0,Regular / Moderate-Value Customers
12513.0,113,1,612.29,612.29,0,Regular / Moderate-Value Customers
12514.0,267,1,1017.68,1017.68,1,At-Risk / Low-Value Customers
12515.0,353,1,383.7,383.7,1,At-Risk / Low-Value Customers
12516.0,78,2,1312.06,1312.06,0,Regular / Moderate-Value Customers
12517.0,28,5,2481.6,2481.6,0,Regular / Moderate-Value Customers
12518.0,1,5,2056.89,2056.89,0,Regular / Moderate-Value Customers
12519.0,64,1,330.84,330.84,0,Regular / Moderate-Value Customers
12520.0,79,5,2634.26,2634.26,0,Regular / Moderate-Value Customers
12521.0,143,1,599.68,599.68,1,At-Risk / Low-Value Customers
12522.0,39,2,192.72,192.72,0,Regular / Moderate-Value Customers
12523.0,19,11,1789.77,1789.77,0,Regular / Moderate-Value Customers
12524.0,9,8,4485.72,4485.72,0,Regular / Moderate-Value Customers
12526.0,1,3,1316.66,1316.66,0,Regular / Moderate-Value Customers
12527.0,82,3,348.71000000000004,348.71000000000004,0,Regular / Moderate-Value Customers
12528.0,9,6,1933.48,1933.48,0,Regular / Moderate-Value Customers
12530.0,60,4,1662.28,1662.28,0,Regular / Moderate-Value Customers
12531.0,15,1,125.22,125.22,0,Regular / Moderate-Value Customers
12532.0,30,1,349.83000000000004,349.83000000000004,0,Regular / Moderate-Value Customers
12534.0,131,1,1089.18,1089.18,0,Regular / Moderate-Value Customers
12535.0,92,2,716.35,716.35,0,Regular / Moderate-Value Customers
12536.0,43,3,12601.830000000002,12601.830000000002,0,Regular / Moderate-Value Customers
12538.0,29,1,363.95,363.95,0,Regular / Moderate-Value Customers
12539.0,22,4,5568.35,5568.35,0,Regular / Moderate-Value Customers
12540.0,20,17,13400.24,13400.24,3,Loyal / Valuable Customers
12541.0,30,3,981.18,981.18,0,Regular / Moderate-Value Customers
12544.0,36,1,372.7,372.7,0,Regular / Moderate-Value Customers
12545.0,75,2,1000.39,1000.39,0,Regular / Moderate-Value Customers
12546.0,47,2,1161.5,1161.5,0,Regular / Moderate-Value Customers
12547.0,198,2,207.79999999999998,207.79999999999998,1,At-Risk / Low-Value Customers
12548.0,166,1,95.19999999999999,95.19999999999999,1,At-Risk / Low-Value Customers
12550.0,79,1,964.83,964.83,0,Regular / Moderate-Value Customers
12551.0,358,1,168.0,168.0,1,At-Risk / Low-Value Customers
12552.0,39,2,437.82,437.82,0,Regular / Moderate-Value Customers
12553.0,8,10,3692.28,3692.28,0,Regular / Moderate-Value Customers
12556.0,50,2,599.56,599.56,0,Regular / Moderate-Value Customers
12557.0,16,5,11990.960000000001,11990.960000000001,0,Regular / Moderate-Value Customers
12558.0,8,1,269.96,269.96,0,Regular / Moderate-Value Customers
12559.0,311,2,561.71,561.71,1,At-Risk / Low-Value Customers
12560.0,5,3,2134.01,2134.01,0,Regular / Moderate-Value Customers
12561.0,303,1,238.85,238.85,1,At-Risk / Low-Value Customers
12562.0,8,7,3781.7400000000002,3781.7400000000002,0,Regular / Moderate-Value Customers
12564.0,261,1,456.9,456.9,1,At-Risk / Low-Value Customers
12565.0,289,1,145.92,145.92,1,At-Risk / Low-Value Customers
12566.0,86,1,351.65,351.65,0,Regular / Moderate-Value Customers
12567.0,23,10,9401.28,9401.28,0,Regular / Moderate-Value Customers
12569.0,2,32,4124.69,4124.69,3,Loyal / Valuable Customers
12571.0,40,2,519.61,519.61,0,Regular / Moderate-Value Customers
12572.0,9,2,1020.42,1020.42,0,Regular / Moderate-Value Customers
12573.0,227,1,160.54000000000002,160.54000000000002,1,At-Risk / Low-Value Customers
12574.0,316,1,218.45,218.45,1,At-Risk / Low-Value Customers
12576.0,36,5,1315.83,1315.83,0,Regular / Moderate-Value Customers
12577.0,35,3,626.6,626.6,0,Regular / Moderate-Value Customers
12578.0,21,2,2794.51,2794.51,0,Regular / Moderate-Value Customers
12579.0,78,1,440.42,440.42,0,Regular / Moderate-Value Customers
12580.0,247,1,415.7,415.7,1,At-Risk / Low-Value Customers
12581.0,40,1,197.71,197.71,0,Regular / Moderate-Value Customers
12582.0,239,2,511.36,511.36,1,At-Risk / Low-Value Customers
12583.0,3,15,7281.38,7281.38,3,Loyal / Valuable Customers
12584.0,4,9,2338.15,2338.15,0,Regular / Moderate-Value Customers
12585.0,234,2,2040.1,2040.1,1,At-Risk / Low-Value Customers
12586.0,17,1,196.94000000000003,196.94000000000003,0,Regular / Moderate-Value Customers
12587.0,8,1,144.0,144.0,0,Regular / Moderate-Value Customers
12588.0,39,1,214.89999999999998,214.89999999999998,0,Regular / Moderate-Value Customers
12589.0,29,2,646.68,646.68,0,Regular / Moderate-Value Customers
12590.0,211,2,9864.26,9864.26,1,At-Risk / Low-Value Customers
12591.0,317,1,452.84999999999997,452.84999999999997,1,At-Risk / Low-Value Customers
12592.0,92,2,437.6,437.6,0,Regular / Moderate-Value Customers
12593.0,109,3,418.09999999999997,418.09999999999997,0,Regular / Moderate-Value Customers
12594.0,38,10,3338.2200000000003,3338.2200000000003,0,Regular / Moderate-Value Customers
12596.0,51,2,618.27,618.27,0,Regular / Moderate-Value Customers
12597.0,19,4,3811.22,3811.22,0,Regular / Moderate-Value Customers
12598.0,10,8,3023.08,3023.08,0,Regular / Moderate-Value Customers
12599.0,29,7,1032.58,1032.58,0,Regular / Moderate-Value Customers
12600.0,29,10,2599.04,2599.04,0,Regular / Moderate-Value Customers
12601.0,190,5,577.0600000000001,577.0600000000001,1,At-Risk / Low-Value Customers
12602.0,59,1,153.12,153.12,0,Regular / Moderate-Value Customers
12603.0,22,1,739.1999999999999,739.1999999999999,0,Regular / Moderate-Value Customers
12604.0,79,2,254.18,254.18,0,Regular / Moderate-Value Customers
12607.0,60,1,1579.51,1579.51,0,Regular / Moderate-Value Customers
12609.0,78,3,1126.85,1126.85,0,Regular / Moderate-Value Customers
12610.0,23,5,2099.54,2099.54,0,Regular / Moderate-Value Customers
12611.0,52,1,1193.32,1193.32,0,Regular / Moderate-Value Customers
12612.0,74,1,704.0400000000001,704.0400000000001,0,Regular / Moderate-Value Customers
12613.0,57,5,3344.38,3344.38,0,Regular / Moderate-Value Customers
12614.0,278,1,315.6,315.6,1,At-Risk / Low-Value Customers
12615.0,2,4,2291.19,2291.19,0,Regular / Moderate-Value Customers
12616.0,95,2,713.3,713.3,0,Regular / Moderate-Value Customers
12617.0,29,1,352.98,352.98,0,Regular / Moderate-Value Customers
12618.0,22,1,177.31,177.31,0,Regular / Moderate-Value Customers
12619.0,16,9,3641.24,3641.24,0,Regular / Moderate-Value Customers
12620.0,15,3,1339.41,1339.41,0,Regular / Moderate-Value Customers
12621.0,2,20,13689.67,13689.67,3,Loyal / Valuable Customers
12622.0,232,1,180.1,180.1,1,At-Risk / Low-Value Customers
12623.0,276,1,305.1,305.1,1,At-Risk / Low-Value Customers
12624.0,106,2,641.13,641.13,0,Regular / Moderate-Value Customers
12625.0,212,2,2683.82,2683.82,1,At-Risk / Low-Value Customers
12626.0,23,9,6620.48,6620.48,0,Regular / Moderate-Value Customers
12627.0,11,7,4478.53,4478.53,0,Regular / Moderate-Value Customers
12628.0,4,3,786.46,786.46,0,Regular / Moderate-Value Customers
12630.0,10,2,1270.88,1270.88,0,Regular / Moderate-Value Customers
12631.0,57,1,640.5,640.5,0,Regular / Moderate-Value Customers
12633.0,59,4,2163.98,2163.98,0,Regular / Moderate-Value Customers
12635.0,90,2,1689.18,1689.18,0,Regular / Moderate-Value Customers
12637.0,67,8,6002.9,6002.9,0,Regular / Moderate-Value Customers
12638.0,33,1,671.69,671.69,0,Regular / Moderate-Value Customers
12639.0,239,1,486.1,486.1,1,At-Risk / Low-Value Customers
12640.0,24,3,1174.58,1174.58,0,Regular / Moderate-Value Customers
12641.0,115,1,185.9,185.9,0,Regular / Moderate-Value Customers
12642.0,25,3,1013.26,1013.26,0,Regular / Moderate-Value Customers
12643.0,128,6,3344.64,3344.64,0,Regular / Moderate-Value Customers
12644.0,130,1,477.91,477.91,0,Regular / Moderate-Value Customers
12645.0,34,4,1775.18,1775.18,0,Regular / Moderate-Value Customers
12646.0,5,2,1346.97,1346.97,0,Regular / Moderate-Value Customers
12647.0,22,12,3722.82,3722.82,0,Regular / Moderate-Value Customers
12648.0,155,1,318.05,318.05,1,At-Risk / Low-Value Customers
12649.0,107,3,623.51,623.51,0,Regular / Moderate-Value Customers
12650.0,3,1,314.44,314.44,0,Regular / Moderate-Value Customers
12651.0,335,1,114.0,114.0,1,At-Risk / Low-Value Customers
12652.0,331,1,919.98,919.98,1,At-Risk / Low-Value Customers
12653.0,149,2,2209.85,2209.85,1,At-Risk / Low-Value Customers
12654.0,11,5,601.98,601.98,0,Regular / Moderate-Value Customers
12656.0,17,5,4051.17,4051.17,0,Regular / Moderate-Value Customers
12657.0,11,4,1643.18,1643.18,0,Regular / Moderate-Value Customers
12658.0,19,1,686.05,686.05,0,Regular / Moderate-Value Customers
12659.0,30,1,91.68,91.68,0,Regular / Moderate-Value Customers
12660.0,11,1,245.1,245.1,0,Regular / Moderate-Value Customers
12662.0,1,11,3849.78,3849.78,0,Regular / Moderate-Value Customers
12664.0,8,9,4881.88,4881.88,0,Regular / Moderate-Value Customers
12665.0,325,1,63.0,63.0,1,At-Risk / Low-Value Customers
12667.0,58,1,620.13,620.13,0,Regular / Moderate-Value Customers
12668.0,12,4,3807.15,3807.15,0,Regular / Moderate-Value Customers
12669.0,151,3,2744.0299999999997,2744.0299999999997,1,At-Risk / Low-Value Customers
12670.0,10,5,2996.05,2996.05,0,Regular / Moderate-Value Customers
12672.0,330,1,225.89999999999998,225.89999999999998,1,At-Risk / Low-Value Customers
12673.0,5,2,610.52,610.52,0,Regular / Moderate-Value Customers
12674.0,39,4,1970.6,1970.6,0,Regular / Moderate-Value Customers
12676.0,25,6,1331.39,1331.39,0,Regular / Moderate-Value Customers
12678.0,42,12,17628.46,17628.46,3,Loyal / Valuable Customers
12679.0,59,4,1113.02,1113.02,0,Regular / Moderate-Value Customers
12680.0,1,4,862.81,862.81,0,Regular / Moderate-Value Customers
12681.0,15,22,13787.54,13787.54,3,Loyal / Valuable Customers
12682.0,4,31,12279.82,12279.82,3,Loyal / Valuable Customers
12683.0,4,15,8476.57,8476.57,3,Loyal / Valuable Customers
12684.0,8,7,2283.63,2283.63,0,Regular / Moderate-Value Customers
12685.0,28,6,2863.08,2863.08,0,Regular / Moderate-Value Customers
12686.0,372,1,89.14,89.14,1,At-Risk / Low-Value Customers
12688.0,114,1,4873.8099999999995,4873.8099999999995,0,Regular / Moderate-Value Customers
12689.0,26,2,1247.61,1247.61,0,Regular / Moderate-Value Customers
12690.0,206,1,389.01,389.01,1,At-Risk / Low-Value Customers
12691.0,28,6,1035.8,1035.8,0,Regular / Moderate-Value Customers
12693.0,127,4,855.91,855.91,0,Regular / Moderate-Value Customers
12694.0,70,2,869.67,869.67,0,Regular / Moderate-Value Customers
12695.0,7,4,582.1,582.1,0,Regular / Moderate-Value Customers
12697.0,29,3,957.59,957.59,0,Regular / Moderate-Value Customers
12700.0,8,4,4939.99,4939.99,0,Regular / Moderate-Value Customers
12701.0,80,2,797.71,797.71,0,Regular / Moderate-Value Customers
12702.0,20,1,219.0,219.0,0,Regular / Moderate-Value Customers
12703.0,71,1,283.55,283.55,0,Regular / Moderate-Value Customers
12704.0,7,8,2340.84,2340.84,0,Regular / Moderate-Value Customers
12705.0,15,9,6868.29,6868.29,0,Regular / Moderate-Value Customers
12707.0,292,1,603.42,603.42,1,At-Risk / Low-Value Customers
12708.0,30,10,2712.91,2712.91,0,Regular / Moderate-Value Customers
12709.0,15,15,9706.52,9706.52,3,Loyal / Valuable Customers
12710.0,97,3,1149.02,1149.02,0,Regular / Moderate-Value Customers
12712.0,29,13,4396.13,4396.13,0,Regular / Moderate-Value Customers
12713.0,1,1,848.55,848.55,0,Regular / Moderate-Value Customers
12714.0,9,5,4708.86,4708.86,0,Regular / Moderate-Value Customers
12715.0,106,1,343.36,343.36,0,Regular / Moderate-Value Customers
12716.0,4,2,1053.49,1053.49,0,Regular / Moderate-Value Customers
12717.0,151,2,1030.98,1030.98,1,At-Risk / Low-Value Customers
12718.0,71,1,238.25,238.25,0,Regular / Moderate-Value Customers
12719.0,5,2,644.95,644.95,0,Regular / Moderate-Value Customers
12720.0,3,25,5781.73,5781.73,3,Loyal / Valuable Customers
12721.0,32,6,2656.13,2656.13,0,Regular / Moderate-Value Customers
12722.0,85,4,997.63,997.63,0,Regular / Moderate-Value Customers
12723.0,4,5,725.07,725.07,0,Regular / Moderate-Value Customers
12724.0,5,4,1031.41,1031.41,0,Regular / Moderate-Value Customers
12725.0,371,1,427.8,427.8,1,At-Risk / Low-Value Customers
12726.0,28,7,2609.1,2609.1,0,Regular / Moderate-Value Customers
12727.0,11,7,3980.7,3980.7,0,Regular / Moderate-Value Customers
12728.0,71,4,836.33,836.33,0,Regular / Moderate-Value Customers
12729.0,114,1,453.01,453.01,0,Regular / Moderate-Value Customers
12731.0,24,12,18895.91,18895.91,3,Loyal / Valuable Customers
12732.0,180,1,236.26000000000002,236.26000000000002,1,At-Risk / Low-Value Customers
12733.0,234,1,383.95,383.95,1,At-Risk / Low-Value Customers
12734.0,353,1,110.39999999999999,110.39999999999999,1,At-Risk / Low-Value Customers
12735.0,315,2,779.5699999999999,779.5699999999999,1,At-Risk / Low-Value Customers
12736.0,333,1,234.0,234.0,1,At-Risk / Low-Value Customers
12738.0,372,1,155.35,155.35,1,At-Risk / Low-Value Customers
12739.0,78,2,1013.04,1013.04,0,Regular / Moderate-Value Customers
12740.0,64,1,427.6,427.6,0,Regular / Moderate-Value Customers
12743.0,134,2,540.13,540.13,0,Regular / Moderate-Value Customers
12744.0,52,7,21279.29,21279.29,3,Loyal / Valuable Customers
12747.0,2,11,4196.01,4196.01,0,Regular / Moderate-Value Customers
12748.0,1,209,33053.19,33053.19,2,High-Value Customers
12749.0,4,5,4090.88,4090.88,0,Regular / Moderate-Value Customers
12750.0,129,1,275.88,275.88,0,Regular / Moderate-Value Customers
12752.0,81,1,4366.78,4366.78,0,Regular / Moderate-Value Customers
12753.0,23,6,21429.39,21429.39,0,Regular / Moderate-Value Customers
12754.0,236,3,3010.74,3010.74,1,At-Risk / Low-Value Customers
12755.0,281,2,3811.95,3811.95,1,At-Risk / Low-Value Customers
12756.0,87,1,112.07999999999998,112.07999999999998,0,Regular / Moderate-Value Customers
12757.0,16,13,7834.650000000001,7834.650000000001,3,Loyal / Valuable Customers
12758.0,117,2,2791.59,2791.59,0,Regular / Moderate-Value Customers
12759.0,52,3,1531.44,1531.44,0,Regular / Moderate-Value Customers
12762.0,8,2,1898.52,1898.52,0,Regular / Moderate-Value Customers
12763.0,138,2,494.08,494.08,0,Regular / Moderate-Value Customers
12764.0,317,1,1693.88,1693.88,1,At-Risk / Low-Value Customers
12766.0,4,7,6989.63,6989.63,0,Regular / Moderate-Value Customers
12769.0,239,1,1143.6,1143.6,1,At-Risk / Low-Value Customers
12770.0,211,1,1351.45,1351.45,1,At-Risk / Low-Value Customers
12772.0,60,1,892.47,892.47,0,Regular / Moderate-Value Customers
12775.0,17,5,1386.04,1386.04,0,Regular / Moderate-Value Customers
12778.0,20,6,822.23,822.23,0,Regular / Moderate-Value Customers
12779.0,38,8,3981.36,3981.36,0,Regular / Moderate-Value Customers
12781.0,64,2,826.74,826.74,0,Regular / Moderate-Value Customers
12782.0,5,5,2330.92,2330.92,0,Regular / Moderate-Value Customers
12783.0,2,6,2225.91,2225.91,0,Regular / Moderate-Value Customers
12784.0,9,2,532.8199999999999,532.8199999999999,0,Regular / Moderate-Value Customers
12785.0,364,1,311.95,311.95,1,At-Risk / Low-Value Customers
12787.0,10,3,463.66,463.66,0,Regular / Moderate-Value Customers
12789.0,65,1,91.85,91.85,0,Regular / Moderate-Value Customers
12790.0,192,1,324.92,324.92,1,At-Risk / Low-Value Customers
12791.0,374,1,192.60000000000002,192.60000000000002,1,At-Risk / Low-Value Customers
12792.0,257,1,400.53999999999996,400.53999999999996,1,At-Risk / Low-Value Customers
12793.0,335,2,545.48,545.48,1,At-Risk / Low-Value Customers
12794.0,53,2,860.41,860.41,0,Regular / Moderate-Value Customers
12795.0,19,1,430.48,430.48,0,Regular / Moderate-Value Customers
12797.0,366,1,254.03,254.03,1,At-Risk / Low-Value Customers
12798.0,10,3,6977.04,6977.04,0,Regular / Moderate-Value Customers
12802.0,187,1,427.58,427.58,1,At-Risk / Low-Value Customers
12808.0,37,3,483.65000000000003,483.65000000000003,0,Regular / Moderate-Value Customers
12809.0,178,1,489.31,489.31,1,At-Risk / Low-Value Customers
12811.0,261,3,514.85,514.85,1,At-Risk / Low-Value Customers
12812.0,45,1,229.64000000000001,229.64000000000001,0,Regular / Moderate-Value Customers
12814.0,102,1,125.92,125.92,0,Regular / Moderate-Value Customers
12815.0,148,2,1063.46,1063.46,1,At-Risk / Low-Value Customers
12816.0,96,2,572.2,572.2,0,Regular / Moderate-Value Customers
12817.0,281,1,166.04,166.04,1,At-Risk / Low-Value Customers
12818.0,262,1,1542.08,1542.08,1,At-Risk / Low-Value Customers
12820.0,3,4,942.34,942.34,0,Regular / Moderate-Value Customers
12821.0,214,1,92.72,92.72,1,At-Risk / Low-Value Customers
12822.0,71,2,948.88,948.88,0,Regular / Moderate-Value Customers
12823.0,75,5,1759.5,1759.5,0,Regular / Moderate-Value Customers
12824.0,60,1,397.12,397.12,0,Regular / Moderate-Value Customers
12826.0,3,7,1474.72,1474.72,0,Regular / Moderate-Value Customers
12827.0,6,3,430.15000000000003,430.15000000000003,0,Regular / Moderate-Value Customers
12828.0,3,6,1018.71,1018.71,0,Regular / Moderate-Value Customers
12829.0,337,2,293.0,293.0,1,At-Risk / Low-Value Customers
12830.0,38,6,6814.64,6814.64,0,Regular / Moderate-Value Customers
12831.0,262,1,215.05,215.05,1,At-Risk / Low-Value Customers
12832.0,32,2,383.03,383.03,0,Regular / Moderate-Value Customers
12833.0,145,1,417.38,417.38,1,At-Risk / Low-Value Customers
12834.0,283,1,312.38,312.38,1,At-Risk / Low-Value Customers
12836.0,59,4,2610.36,2610.36,0,Regular / Moderate-Value Customers
12837.0,173,1,134.1,134.1,1,At-Risk / Low-Value Customers
